id,title,context,question,answers,predicted_answer,predicted_answer_for_dropped
5727d3843acd2414000ded69,Harvard_University,"The four-year, full-time undergraduate program comprises a minority of enrollments at the university and emphasizes instruction with an ""arts and sciences focus"". Between 1978 and 2008, entering students were required to complete a core curriculum of seven classes outside of their concentration. Since 2008, undergraduate students have been required to complete courses in eight General Education categories: Aesthetic and Interpretive Understanding, Culture and Belief, Empirical and Mathematical Reasoning, Ethical Reasoning, Science of Living Systems, Science of the Physical Universe, Societies of the World, and United States in the World. Harvard offers a comprehensive doctoral graduate program and there is a high level of coexistence between graduate and undergraduate degrees. The Carnegie Foundation for the Advancement of Teaching, The New York Times, and some students have criticized Harvard for its reliance on teaching fellows for some aspects of undergraduate education; they consider this to adversely affect the quality of education.",Between 1978 an d2008 four year full time undergraduate students were required to complete how many classes outside of their concentration?,"{'text': array(['core curriculum of seven classes', 'seven', 'seven'], dtype=object), 'answer_start': array([232, 251, 251], dtype=int32)}",Entering students between 1978 and 2008 were required to complete a core curriculum of seven classes outside of their concentration.,"Between 1978 and 2008, four-year full-time undergraduate students were required to complete a core curriculum of seven classes outside of their concentration."
56de4b074396321400ee2793,Normans,"In England, the period of Norman architecture immediately succeeds that of the Anglo-Saxon and precedes the Early Gothic. In southern Italy, the Normans incorporated elements of Islamic, Lombard, and Byzantine building techniques into their own, initiating a unique style known as Norman-Arab architecture within the Kingdom of Sicily.",What architecture type came after Norman in England?,"{'text': array(['Early Gothic', 'Early Gothic', 'Early Gothic'], dtype=object), 'answer_start': array([108, 108, 108], dtype=int32)}",The architecture type that came after Norman in England is Early Gothic.,The architecture type that came after Norman in England is Early Gothic.
57111b95a58dae1900cd6c52,Huguenot,"Frederick William, Elector of Brandenburg, invited Huguenots to settle in his realms, and a number of their descendants rose to positions of prominence in Prussia. Several prominent German military, cultural, and political figures were ethnic Huguenot, including poet Theodor Fontane, General Hermann von François, the hero of the First World War Battle of Tannenberg, Luftwaffe General and fighter ace Adolf Galland, Luftwaffe flying ace Hans-Joachim Marseille, and famed U-boat captain Lothar von Arnauld de la Perière. The last Prime Minister of the (East) German Democratic Republic, Lothar de Maizière, is also a descendant of a Huguenot family, as is the German Federal Minister of the Interior, Thomas de Maizière.",What German general and fighter pilot was of Huguenot ancestry?,"{'text': array(['Adolf Galland', 'Adolf Galland', 'Adolf Galland'], dtype=object), 'answer_start': array([403, 403, 403], dtype=int32)}",Luftwaffe General and fighter ace Adolf Galland.,Adolf Galland.
571a49de4faf5e1900b8a94a,Oxygen,"Many major classes of organic molecules in living organisms, such as proteins, nucleic acids, carbohydrates, and fats, contain oxygen, as do the major inorganic compounds that are constituents of animal shells, teeth, and bone. Most of the mass of living organisms is oxygen as it is a part of water, the major constituent of lifeforms. Oxygen is used in cellular respiration and released by photosynthesis, which uses the energy of sunlight to produce oxygen from water. It is too chemically reactive to remain a free element in air without being continuously replenished by the photosynthetic action of living organisms. Another form (allotrope) of oxygen, ozone (O
3), strongly absorbs UVB radiation and consequently the high-altitude ozone layer helps protect the biosphere from ultraviolet radiation, but is a pollutant near the surface where it is a by-product of smog. At even higher low earth orbit altitudes, sufficient atomic oxygen is present to cause erosion for spacecraft.",Oxygen is released in cellular respiration by?,"{'text': array(['photosynthesis', 'photosynthesis', 'photosynthesis',
       'photosynthesis', 'photosynthesis'], dtype=object), 'answer_start': array([392, 392, 392, 392, 392], dtype=int32)}",photosynthesis,photosynthesis
5730126ba23a5019007fcd0b,Islamism,"The path of violence and military struggle was then taken up by the Egyptian Islamic Jihad organization responsible for the assassination of Anwar Sadat in 1981. Unlike earlier anti-colonial movements the extremist group directed its attacks against what it believed were ""apostate"" leaders of Muslim states, leaders who held secular leanings or who had introduced or promoted Western/foreign ideas and practices into Islamic societies. Its views were outlined in a pamphlet written by Muhammad Abd al-Salaam Farag, in which he states:",Which leaders did the Islamic extremists attack?,"{'text': array(['apostate', '""apostate"" leaders of Muslim states,', 'apostate'],
      dtype=object), 'answer_start': array([273, 272, 273], dtype=int32)}","The Islamic extremists attacked leaders who they believed were ""apostate"" leaders of Muslim states, leaders who held secular leanings or who had introduced or promoted Western/foreign ideas and practices into Islamic societies.","The Islamic extremists attacked ""apostate"" leaders of Muslim states."
573749741c45671900574460,Force,"The concept of inertia can be further generalized to explain the tendency of objects to continue in many different forms of constant motion, even those that are not strictly constant velocity. The rotational inertia of planet Earth is what fixes the constancy of the length of a day and the length of a year. Albert Einstein extended the principle of inertia further when he explained that reference frames subject to constant acceleration, such as those free-falling toward a gravitating object, were physically equivalent to inertial reference frames. This is why, for example, astronauts experience weightlessness when in free-fall orbit around the Earth, and why Newton's Laws of Motion are more easily discernible in such environments. If an astronaut places an object with mass in mid-air next to himself, it will remain stationary with respect to the astronaut due to its inertia. This is the same thing that would occur if the astronaut and the object were in intergalactic space with no net force of gravity acting on their shared reference frame. This principle of equivalence was one of the foundational underpinnings for the development of the general theory of relativity.",What do astronaughts experience while in free-fall?,"{'text': array(['weightlessness', 'weightlessness', 'weightlessness',
       'weightlessness', 'weightlessness'], dtype=object), 'answer_start': array([602, 602, 602, 602, 602], dtype=int32)}",Astronauts experience weightlessness while in free-fall.,Astronauts experience weightlessness while in free-fall.
5733f7b9d058e614000b66ac,French_and_Indian_War,"The French acquired a copy of the British war plans, including the activities of Shirley and Johnson. Shirley's efforts to fortify Oswego were bogged down in logistical difficulties, exacerbated by Shirley's inexperience in managing large expeditions. In conjunction, Shirley was made aware that the French were massing for an attack on Fort Oswego in his absence when he planned to attack Fort Niagara. As a response, Shirley left garrisons at Oswego, Fort Bull, and Fort Williams (the latter two located on the Oneida Carry between the Mohawk River and Wood Creek at present-day Rome, New York). Supplies for use in the projected attack on Niagara were cached at Fort Bull.",Who did Shirley leave at Oswego?,"{'text': array(['garrisons', 'garrisons', 'garrisons', 'garrisons'], dtype=object), 'answer_start': array([432, 432, 432, 432], dtype=int32)}",Shirley left garrisons at Oswego.,"Shirley left garrisons at Os, Fort Bull, and Fort Williams."
5737a0acc3c5551400e51f4a,Force,"Newton's laws and Newtonian mechanics in general were first developed to describe how forces affect idealized point particles rather than three-dimensional objects. However, in real life, matter has extended structure and forces that act on one part of an object might affect other parts of an object. For situations where lattice holding together the atoms in an object is able to flow, contract, expand, or otherwise change shape, the theories of continuum mechanics describe the way forces affect the material. For example, in extended fluids, differences in pressure result in forces being directed along the pressure gradients as follows:",What may a force on one part of an object affect?,"{'text': array(['other parts', 'other parts of an object',
       'other parts of an object', 'other parts of an object'],
      dtype=object), 'answer_start': array([276, 276, 276, 276], dtype=int32)}",Other parts of the object.,A force on one part of an object may affect other parts of an object.
56be5333acb8001400a5030a,Super_Bowl_50,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.",Which network broadcasted Super Bowl 50 in the U.S.?,"{'text': array(['CBS', 'CBS', 'CBS'], dtype=object), 'answer_start': array([0, 0, 0], dtype=int32)}",CBS,The network that broadcasted Super Bowl 50 in the US. is not mentioned in the passage.
57306797396df919000960f2,Imperialism,"The definition of imperialism has not been finalized for centuries and was confusedly seen to represent the policies of major powers, or simply, general-purpose aggressiveness. Further on, some writers[who?] used the term imperialism, in slightly more discriminating fashion, to mean all kinds of domination or control by a group of people over another. To clear out this confusion about the definition of imperialism one could speak of ""formal"" and ""informal"" imperialism, the first meaning physical control or ""full-fledged colonial rule"" while the second implied less direct rule though still containing perceivable kinds of dominance. Informal rule is generally less costly than taking over territories formally. This is because, with informal rule, the control is spread more subtly through technological superiority, enforcing land officials into large debts that cannot be repaid, ownership of private industries thus expanding the controlled area, or having countries agree to uneven trade agreements forcefully.",What subtle tool can be used in an informal imperialistic situation to expand a controlled area?,"{'text': array(['ownership of private industries', 'technological superiority',
       'technological superiority', 'ownership of private industries',
       'technological superiority,'], dtype=object), 'answer_start': array([888, 796, 796, 888, 796], dtype=int32)}",Ownership of private industries,Ownership of private industries
5730ea71b54a4f140068cce6,United_Methodist_Church,"The United Methodist Church has since 1985 been exploring a possible merger with three historically African-American Methodist denominations: the African Methodist Episcopal Church, the African Methodist Episcopal Zion Church, and the Christian Methodist Episcopal Church. A Commission on Pan Methodist Cooperation and Union formed in 2000 to carry out work on such a merger. In May 2012, The United Methodist Church entered into full communion with the African Methodist Episcopal Church, African Methodist Episcopal Zion Church, African Union Methodist Protestant Church, Christian Methodist Episcopal Church, and Union American Methodist Episcopal Church, in which these Churches agreed to ""recognize each other's churches, share sacraments, and affirm their clergy and ministries.""",Since what year has the UMC been exploring a possible merger with three historically African-American denominations?,"{'text': array(['1985', 'since 1985', '1985'], dtype=object), 'answer_start': array([38, 32, 38], dtype=int32)}",1985,1985
572a12381d0469140077972d,Economic_inequality,"Research by Harvard economist Robert Barro, found that there is ""little overall relation between income inequality and rates of growth and investment"". According to work by Barro in 1999 and 2000, high levels of inequality reduce growth in relatively poor countries but encourage growth in richer countries. A study of Swedish counties between 1960 and 2000 found a positive impact of inequality on growth with lead times of five years or less, but no correlation after ten years. Studies of larger data sets have found no correlations for any fixed lead time, and a negative impact on the duration of growth.",What does high levels of inequality do to growth in poor countries?,"{'text': array(['reduce', 'reduce growth', 'reduce'], dtype=object), 'answer_start': array([223, 223, 223], dtype=int32)}",High levels of inequality reduce growth in relatively poor countries.,High levels of inequality reduce growth in relatively poor countries.
56d9ccacdc89441400fdb845,Super_Bowl_50,"Manning finished the game 13 of 23 for 141 yards with one interception and zero touchdowns. Sanders was his top receiver with six receptions for 83 yards. Anderson was the game's leading rusher with 90 yards and a touchdown, along with four receptions for 10 yards. Miller had six total tackles (five solo), 2½ sacks, and two forced fumbles. Ware had five total tackles and two sacks. Ward had seven total tackles, a fumble recovery, and an interception. McManus made all four of his field goals, making him perfect on all 11 attempts during the post-season. Newton completed 18 of 41 passes for 265 yards, with one interception. He was also the team's leading rusher with 45 yards on six carries. Brown caught four passes for 80 yards, while Ginn had four receptions for 74. Ealy was the top defensive performer for Carolina with four total tackles, three sacks, a forced fumble, a fumble recovery, and an interception. Defensive End Charles Johnson had four total tackles, a sack, and a forced fumble. Linebacker Luke Kuechly had 11 total tackles, while Thomas Davis had seven, despite playing just two weeks after breaking his right arm in the NFC title game.",How many intercpetions did Newton have in Super Bowl 50?,"{'text': array(['one', 'one', 'one'], dtype=object), 'answer_start': array([ 54, 612, 612], dtype=int32)}",One interception.,One interception.
5725e28f38643c19005ace27,Apollo_program,"Apollo 8 was planned to be the D mission in December 1968, crewed by McDivitt, Scott and Schweickart, launched on a Saturn V instead of two Saturn IBs. In the summer it had become clear that the LM would not be ready in time. Rather than waste the Saturn V on another simple Earth-orbiting mission, ASPO Manager George Low suggested the bold step of sending Apollo 8 to orbit the Moon instead, deferring the D mission to the next mission in March 1969, and eliminating the E mission. This would keep the program on track. The Soviet Union had sent animals around the Moon on September 15, 1968, aboard Zond 5, and it was believed they might soon repeat the feat with human cosmonauts. The decision was not announced publicly until successful completion of Apollo 7. Gemini veterans Frank Borman and James Lovell, and rookie William Anders captured the world's attention by making 10 lunar orbits in 20 hours, transmitting television pictures of the lunar surface on Christmas Eve, and returning safely to Earth.",What did the Soviets intend to use in spacecraft after the success of Zond 5?,"{'text': array(['human cosmonauts', 'human cosmonauts', 'human cosmonauts',
       'human cosmonauts'], dtype=object), 'answer_start': array([667, 667, 667, 667], dtype=int32)}",It is not mentioned in the passage what the Soviets intended to use in spacecraft after the success of Zond 5.,The passage does not mention the Soviets' intentions regarding the use of spacecraft after the success of Zond 5.
572fd1c4947a6a140053cd02,Scottish_Parliament,"Stage 3 is the final stage of the bill and is considered at a meeting of the whole Parliament. This stage comprises two parts: consideration of amendments to the bill as a general debate, and a final vote on the bill. Opposition members can table ""wrecking amendments"" to the bill, designed to thwart further progress and take up parliamentary time, to cause the bill to fall without a final vote being taken. After a general debate on the final form of the bill, members proceed to vote at Decision Time on whether they agree to the general principles of the final bill.",What is the final stage of a bill in the Scottish Parliament?,"{'text': array(['Stage 3', 'Stage 3', 'Stage 3'], dtype=object), 'answer_start': array([0, 0, 0], dtype=int32)}",Stage 3,"Yes, the final stage of a bill in the Scottish Parliament is stage 3."
56e0c0c7231d4119001ac376,Nikola_Tesla,"Tesla was the fourth of five children. He had an older brother named Dane and three sisters, Milka, Angelina and Marica. Dane was killed in a horse-riding accident when Nikola was five. In 1861, Tesla attended the ""Lower"" or ""Primary"" School in Smiljan where he studied German, arithmetic, and religion. In 1862, the Tesla family moved to Gospić, Austrian Empire, where Tesla's father worked as a pastor. Nikola completed ""Lower"" or ""Primary"" School, followed by the ""Lower Real Gymnasium"" or ""Normal School.""",What were Tesla's sisters' names?,"{'text': array(['Milka, Angelina and Marica', 'Milka, Angelina and Marica',
       'Milka, Angelina and Marica'], dtype=object), 'answer_start': array([93, 93, 93], dtype=int32)}","Milka, Angelina, Marica","Milka, Angelina, Marica"
573784fa1c45671900574483,Force,"What we now call gravity was not identified as a universal force until the work of Isaac Newton. Before Newton, the tendency for objects to fall towards the Earth was not understood to be related to the motions of celestial objects. Galileo was instrumental in describing the characteristics of falling objects by determining that the acceleration of every object in free-fall was constant and independent of the mass of the object. Today, this acceleration due to gravity towards the surface of the Earth is usually designated as  and has a magnitude of about 9.81 meters per second squared (this measurement is taken from sea level and may vary depending on location), and points toward the center of the Earth. This observation means that the force of gravity on an object at the Earth's surface is directly proportional to the object's mass. Thus an object that has a mass of  will experience a force:",Who identified gravity as a force?,"{'text': array(['Isaac Newton', 'Isaac Newton', 'Isaac Newton', 'Isaac Newton'],
      dtype=object), 'answer_start': array([83, 83, 83, 83], dtype=int32)}",Isaac Newton,Isaac Newton
57299326af94a219006aa518,Prime_number,"For a long time, number theory in general, and the study of prime numbers in particular, was seen as the canonical example of pure mathematics, with no applications outside of the self-interest of studying the topic with the exception of use of prime numbered gear teeth to distribute wear evenly. In particular, number theorists such as British mathematician G. H. Hardy prided themselves on doing work that had absolutely no military significance. However, this vision was shattered in the 1970s, when it was publicly announced that prime numbers could be used as the basis for the creation of public key cryptography algorithms. Prime numbers are also used for hash tables and pseudorandom number generators.","Besides public key cryptography, what is another application for prime numbers?","{'text': array(['hash tables', 'hash tables',
       'hash tables and pseudorandom number generators',
       'hash tables and pseudorandom number generators'], dtype=object), 'answer_start': array([664, 664, 664, 664], dtype=int32)}",Another application for prime numbers is their use in hash tables and pseudorandom number generators.,Another application for prime numbers is their use in hash tables and pseudorandom number generators.
5729727baf94a219006aa438,Prime_number,"Many questions regarding prime numbers remain open, such as Goldbach's conjecture (that every even integer greater than 2 can be expressed as the sum of two primes), and the twin prime conjecture (that there are infinitely many pairs of primes whose difference is 2). Such questions spurred the development of various branches of number theory, focusing on analytic or algebraic aspects of numbers. Primes are used in several routines in information technology, such as public-key cryptography, which makes use of properties such as the difficulty of factoring large numbers into their prime factors. Prime numbers give rise to various generalizations in other mathematical domains, mainly algebra, such as prime elements and prime ideals.",What is the name of the supposition that there are infinite pairs of primes whose difference is 2?,"{'text': array(['the twin prime conjecture', 'twin prime conjecture',
       'twin prime conjecture', 'twin prime conjecture',
       'twin prime conjecture'], dtype=object), 'answer_start': array([170, 174, 174, 174, 174], dtype=int32)}",The name of the supposition is the twin prime conjecture.,The name of the supposition is the twin prime conjecture.
5728f7774b864d190016512e,Immune_system,"Both innate and adaptive immunity depend on the ability of the immune system to distinguish between self and non-self molecules. In immunology, self molecules are those components of an organism's body that can be distinguished from foreign substances by the immune system. Conversely, non-self molecules are those recognized as foreign molecules. One class of non-self molecules are called antigens (short for antibody generators) and are defined as substances that bind to specific immune receptors and elicit an immune response.",The adaptive immune system must distinguish between what types of molecules?,"{'text': array(['self and non-self', 'self and non-self',
       'self and non-self molecules'], dtype=object), 'answer_start': array([100, 100, 100], dtype=int32)}",The adaptive immune system must distinguish between self and non-self molecules.,The adaptive immune system must distinguish between self molecules and nonself molecules.
56dfa01738dc42170015211d,Nikola_Tesla,"Tesla went on to pursue his ideas of wireless lighting and electricity distribution in his high-voltage, high-frequency power experiments in New York and Colorado Springs, and made early (1893) pronouncements on the possibility of wireless communication with his devices. He tried to put these ideas to practical use in an ill-fated attempt at intercontinental wireless transmission, his unfinished Wardenclyffe Tower project. In his lab he also conducted a range of experiments with mechanical oscillators/generators, electrical discharge tubes, and early X-ray imaging. He also built a wireless controlled boat, one of the first ever exhibited.",When did Tesla discover the possibility of wireless connectivity?,"{'text': array(['1893', '1893', '1893'], dtype=object), 'answer_start': array([188, 188, 188], dtype=int32)}",Tesla discovered the possibility of wireless connectivity in 1893.,"Yes, Tesla discovered the possibility of wireless connectivity."
56f8cc399e9bad19000a0515,Martin_Luther,"In the 1530s and 1540s, printed images of Luther that emphasized his monumental size were crucial to the spread of Protestantism. In contrast to images of frail Catholic saints, Luther was presented as a stout man with a ""double chin, strong mouth, piercing deep-set eyes, fleshy face, and squat neck."" He was shown to be physically imposing, an equal in stature to the secular German princes with whom he would join forces to spread Lutheranism. His large body also let the viewer know that he did not shun earthly pleasures like drinking—behavior that was a stark contrast to the ascetic life of the medieval religious orders. Famous images from this period include the woodcuts by Hans Brosamer (1530) and Lucas Cranach the Elder and Lucas Cranach the Younger (1546).",In contrast how were Catholic saints portrayed?,"{'text': array(['frail Catholic saints', 'frail', 'frail'], dtype=object), 'answer_start': array([155, 155, 155], dtype=int32)}",Catholic saints were portrayed as frail.,Catholic saints were portrayed as frail.
5725ba5038643c19005acbe7,Apollo_program,"In July 1960, NASA Deputy Administrator Hugh L. Dryden announced the Apollo program to industry representatives at a series of Space Task Group conferences. Preliminary specifications were laid out for a spacecraft with a mission module cabin separate from the command module (piloting and re-entry cabin), and a propulsion and equipment module. On August 30, a feasibility study competition was announced, and on October 25, three study contracts were awarded to General Dynamics/Convair, General Electric, and the Glenn L. Martin Company. Meanwhile, NASA performed its own in-house spacecraft design studies led by Maxime Faget, to serve as a gauge to judge and monitor the three industry designs.",In what year was the Apollo program announced?,"{'text': array(['1960', '1960', '1960', '1960', 'July 1960'], dtype=object), 'answer_start': array([8, 8, 8, 8, 3], dtype=int32)}",The Apollo program was announced in 1960.,July 1960
56f8afbc9b226e1400dd0e08,Martin_Luther,"Luther's other major works on the Jews were his 60,000-word treatise Von den Juden und Ihren Lügen (On the Jews and Their Lies), and Vom Schem Hamphoras und vom Geschlecht Christi (On the Holy Name and the Lineage of Christ), both published in 1543, three years before his death. Luther argued that the Jews were no longer the chosen people but ""the devil's people"", and referred to them with violent, vile language. Citing Deuteronomy 13, wherein Moses commands the killing of idolaters and the burning of their cities and property as an offering to God, Luther called for a ""scharfe Barmherzigkeit"" (""sharp mercy"") against the Jews ""to see whether we might save at least a few from the glowing flames."" Luther advocated setting synagogues on fire, destroying Jewish prayerbooks, forbidding rabbis from preaching, seizing Jews' property and money, and smashing up their homes, so that these ""envenomed worms"" would be forced into labour or expelled ""for all time"". In Robert Michael's view, Luther's words ""We are at fault in not slaying them"" amounted to a sanction for murder. ""God's anger with them is so intense,"" Luther concluded, ""that gentle mercy will only tend to make them worse, while sharp mercy will reform them but little. Therefore, in any case, away with them!""",What did Luther contend the Jews to be?,"{'text': array([""the devil's people"", ""the devil's people"", ""the devil's people""],
      dtype=object), 'answer_start': array([346, 346, 346], dtype=int32)}","Luther contended that the Jews were ""the devil's people"".","Luther contended the Jews to be ""the devil's people""."
5725f07f89a1e219009ac0be,Apollo_program,"In 2008, Japan Aerospace Exploration Agency's SELENE probe observed evidence of the halo surrounding the Apollo 15 Lunar Module blast crater while orbiting above the lunar surface. In 2009, NASA's robotic Lunar Reconnaissance Orbiter, while orbiting 50 kilometers (31 mi) above the Moon, began photographing the remnants of the Apollo program left on the lunar surface, and photographed each site where manned Apollo flights landed. All of the U. S. flags left on the Moon during the Apollo missions were found to still be standing, with the exception of the one left during the Apollo 11 mission, which was blown over during that mission's lift-off from the lunar surface and return to the mission Command Module in lunar orbit; the degree to which these flags retain their original colors remains unknown.",Which NASA orbiter photographed evidence of each site on the moon that a manned Apollo mission landing occurred?,"{'text': array(['Lunar Reconnaissance Orbiter',
       ""Japan Aerospace Exploration Agency's SELENE"",
       'Reconnaissance Orbiter', 'robotic Lunar Reconnaissance Orbiter',
       'Lunar Reconnaissance Orbiter'], dtype=object), 'answer_start': array([205,   9, 211, 197, 205], dtype=int32)}",NASA's robotic Lunar Reconnaissance Orbiter.,"Yes, NASA's robotic Lunar Rec photographed each site where manned Apollo flights landed."
5726f4a0708984140094d6e9,Victoria_and_Albert_Museum,"In 1857 John Sheepshanks donated 233 paintings, mainly by contemporary British artists, and a similar number of drawings to the museum with the intention of forming a 'A National Gallery of British Art', a role since taken on by Tate Britain; artists represented are William Blake, James Barry, Henry Fuseli, Sir Edwin Henry Landseer, Sir David Wilkie, William Mulready, William Powell Frith, Millais and Hippolyte Delaroche. Although some of Constable's works came to the museum with the Sheepshanks bequest, the majority of the artist's works were donated by his daughter Isabel in 1888, including the large number of sketches in oil, the most significant being the 1821 full size oil sketch for The Hay Wain. Other artists with works in the collection include: Bernardino Fungai, Marcus Gheeraerts the Younger, Domenico di Pace Beccafumi, Fioravante Ferramola, Jan Brueghel the Elder, Anthony van Dyck, Ludovico Carracci, Antonio Verrio, Giovanni Battista Tiepolo, Domenico Tiepolo, Canaletto, Francis Hayman, Pompeo Batoni, Benjamin West, Paul Sandby, Richard Wilson, William Etty, Henry Fuseli, Sir Thomas Lawrence, James Barry, Francis Danby, Richard Parkes Bonington and Alphonse Legros.",In which year did John Sheepshanks donated a large collection of paintings?,"{'text': array(['1857', '1857', '1857'], dtype=object), 'answer_start': array([3, 3, 3], dtype=int32)}",1857,1857
5728202c4b864d19001644ef,Civil_disobedience,"Non-revolutionary civil disobedience is a simple disobedience of laws on the grounds that they are judged ""wrong"" by an individual conscience, or as part of an effort to render certain laws ineffective, to cause their repeal, or to exert pressure to get one's political wishes on some other issue. Revolutionary civil disobedience is more of an active attempt to overthrow a government (or to change cultural traditions, social customs, religious beliefs, etc...revolution doesn't have to be political, i.e. ""cultural revolution"", it simply implies sweeping and widespread change to a section of the social fabric). Gandhi's acts have been described as revolutionary civil disobedience. It has been claimed that the Hungarians under Ferenc Deák directed revolutionary civil disobedience against the Austrian government. Thoreau also wrote of civil disobedience accomplishing ""peaceable revolution."" Howard Zinn, Harvey Wheeler, and others have identified the right espoused in The Declaration of Independence to ""alter or abolish"" an unjust government to be a principle of civil disobedience. ",Revolutionary civil disobedience towards culture is highlighted by example of who? ,"{'text': array([""Gandhi's"", 'Gandhi', 'Gandhi', ""Gandhi's""], dtype=object), 'answer_start': array([616, 616, 616, 616], dtype=int32)}",Gandhi,Gandhi
56e77b8c00c9c71400d77197,Teacher,"There are many forms of spiritual or religious teachers in Christianity, across all three major traditions - (Roman) Catholic, (Eastern) Orthodox Catholic, and Protestant/Non-Denominational, with a stronger tradition of spiritual formation in the more historic and authoritarian/hierarchical Christian traditions with a long tradition of ""discernment of spirits"", of vocations, and other aspects of spiritual life, especially the Roman and Orthodox Catholic Churches. These positions include: the honoured but informal position of starets or elder - a man (or, less often, woman), often a monastic, considered to be graced by God with certain gifts for the guidance of souls and the detection and correction of prelest (spiritual pride or deception) - who acts as a spiritual guide or father in the Orthodox Catholic tradition, especially Russian Orthodoxy (see Optina Monastery, which had a long line of said starets); the Priest or Confessor in Roman Catholicism, who is often a man in Holy Orders but may be a monastic or other person respected for his spiritual accomplishments or acumen (even the Pope of Rome has a Confessor, who is not always a bishop, and, due to the hierarchical structure of the Roman Church, can not be his equal in authority), which is often a semi-official to official position, as opposed to the unofficial positions of spiritual guides in the Orthodox Catholic and Protestant traditions; and the almost-exclusively informal arrangements (generally formal only in members who are under some form of church discipline) of mentorship (both of adults and children, in the latter case often a youth pastor) in the Protestant and Non-Denominational traditions, which boundaries can be blurred with the more typically Roman ""confessor"" position in some of the more historic and conservative Reformation Churches, such as some of the Lutheran and Anglican. In keeping with the individualistic nature of most Protestant denominations, the emphasis on being guided in spiritual development is small, with a heavy emphasis placed on heavy reading and personal, Spirit-enlightened interpretation of the Holy Bible.",Is the Pope's confessor a Bishop?,"{'text': array(['not always', 'not always'], dtype=object), 'answer_start': array([1139, 1139], dtype=int32)}",The Pope's confessor is not always a bishop.,"No, the Pope's confessor is not always a bishop."
5726f90b708984140094d761,Victoria_and_Albert_Museum,"One of the more unusual collections is that of Eadweard Muybridge's photographs of Animal Locomotion of 1887, this consists of 781 plates. These sequences of photographs taken a fraction of a second apart capture images of different animals and humans performimg various actions. There are several of John Thomson's 1876-7 images of Street Life in London in the collection. The museum also holds James Lafayette's society portraits, a collection of more than 600 photographs dating from the late 19th to early 20th centuries and portraying a wide range of society figures of the period, including bishops, generals, society ladies, Indian maharajas, Ethiopian rulers and other foreign leaders, actresses, people posing in their motor cars and a sequence of photographs recording the guests at the famous fancy-dress ball held at Devonshire House in 1897 to celebrate Queen Victoria's diamond jubilee.",Whose society portraits from the late 19th to early 20th centuries does the V&A hold?,"{'text': array(['James Lafayette', ""James Lafayette's"", 'James Lafayette'],
      dtype=object), 'answer_start': array([396, 396, 396], dtype=int32)}",The V&A holds James Lafayette's society portraits.,The V&A holds James Lafayette society portraits.
5725e44238643c19005ace37,Apollo_program,"In November 1969, Gemini veteran Charles ""Pete"" Conrad and rookie Alan L. Bean made a precision landing on Apollo 12 within walking distance of the Surveyor 3 unmanned lunar probe, which had landed in April 1967 on the Ocean of Storms. The Command Module Pilot was Gemini veteran Richard F. Gordon, Jr. Conrad and Bean carried the first lunar surface color television camera, but it was damaged when accidentally pointed into the Sun. They made two EVAs totaling 7 hours and 45 minutes. On one, they walked to the Surveyor, photographed it, and removed some parts which they returned to Earth.",What did the crew of Apollo 12 do with parts of the Surveyor they landed near after photographing them?,"{'text': array(['returned to Earth', 'color television camera',
       'returned to Earth', 'removed some parts', 'returned to Earth.'],
      dtype=object), 'answer_start': array([575, 351, 575, 545, 575], dtype=int32)}",They returned the parts to Earth.,The crew of Apollo 12 removed some parts of the Survey and returned them to Earth.
572666d9dd62a815002e83b8,Newcastle_upon_Tyne,"Throughout the Middle Ages, Newcastle was England's northern fortress. Incorporated first by Henry II, the city had a new charter granted by Elizabeth in 1589. A 25-foot (7.6 m) high stone wall was built around the town in the 13th century, to defend it from invaders during the Border war against Scotland. The Scots king William the Lion was imprisoned in Newcastle in 1174, and Edward I brought the Stone of Scone and William Wallace south through the town. Newcastle was successfully defended against the Scots three times during the 14th century, and was created a county corporate with its own sheriff by Henry IV in 1400.",How many times did Newcastle fight off the Scots during the 14th century?,"{'text': array(['three times', 'three', 'three times'], dtype=object), 'answer_start': array([515, 515, 515], dtype=int32)}",Newcastle fought off the Scots three times during the 14th century.,Newcastle fought off the Scots three times during the 14th century.
